cityName,longitude,latitude
潼南区,105.847399,30.19731424
铜梁区,106.0634495,29.85050878
大足区,105.7284046,29.71311351
丰都县,107.7374806,29.86941279
涪陵区,107.3964198,29.7092782
巴南区,106.5474543,29.40847474
江津区,106.2655976,29.29588437
永川区,105.9334994,29.36204634
梁平区,107.7760973,30.66055326
沙坪坝区,106.4644651,29.54719252
黔江区,108.7775912,29.53881257
城口县,108.6716116,31.95339075
高新区,103.9354138,30.74612611
彭水,108.172578,29.29946229
武隆区,107.7664252,29.33202687
秀山县,109.0135739,28.45344786
苏州,120.5924122,31.30356407
南京,118.8024217,32.06465289
徐州,117.2905754,34.21266655
无锡,120.3185833,31.49880973
淮安,119.0214837,33.6162953
泰州,119.9295663,32.46067505
南通,120.9015917,31.98654943
常州,119.9814847,31.81579565
连云港,119.2286213,34.60224953
扬州,119.4194189,32.40067694
盐城,120.1675443,33.35510092
宿迁,118.281574,33.96774972
镇江,119.4304894,32.19471592
成都,104.0815335,30.65582188
南充,106.1175026,30.84378251
广安,106.6395527,30.46174611
绵阳,104.6855619,31.47366305
达州,107.4745939,31.21430772
内江,105.064588,29.58588654
巴中,106.7515853,31.87288859
德阳,104.4044194,31.133115
攀枝花,101.7255412,26.58803317
泸州,105.4485241,28.8776683
甘孜州,101.9685467,30.05527884
自贡,104.7844488,29.34558492
宜宾,104.6494037,28.75800703
凉山州,102.2735027,27.8877523
广元,105.8504232,32.44161631
雅安,103.0495426,30.01679255
遂宁,105.5994215,30.53909767
眉山,103.8565633,30.08252612
乐山,103.7725376,29.55794072
资阳,104.6344353,30.13495656
阿坝州,102.2314155,31.90551158
青岛,120.3894552,36.0722275
临沂,118.363533,35.11067124
济南,117.1263994,36.6565542
威海,122.127541,37.51643055
烟台,121.4544154,37.47003838
济宁,116.5936123,35.42017739
德州,116.3655567,37.44130845
枣庄,117.3305419,34.81599405
潍坊,119.1683779,36.71265155
淄博,118.0614525,36.81908568
泰安,117.0944948,36.20585804
日照,119.5334154,35.422839
聊城,115.9915878,36.46275819
菏泽,115.487545,35.23940742
滨州,117.977404,37.3881962
外地来沪人员,117.0233851,25.99602656
浦东,121.4086477,30.88438682
徐汇,121.4433964,31.19455677
静安,121.4534318,31.23384493
宝山,121.496563,31.41027947
闵行,121.3886119,31.11884258
长宁,121.4304544,31.22684797
松江,121.2344796,31.03713518
普陀,121.4035693,31.25497337
杨浦,121.5325199,31.26552414
奉贤,121.4805037,30.92372011
黄浦,121.4915856,31.23724715
虹口,121.5115865,31.2697467
金山,121.6155666,25.22015442
崇明,121.4035569,31.62856998
海淀区,116.3054341,39.96548984
西城区,116.3725136,39.91812361
大兴区,116.3486252,39.73255524
朝阳区,125.2954013,43.84064147
丰台区,116.2924019,39.8649372
通州区,121.0814255,32.07035574
昌平区,116.2376179,40.22641337
石景山区,116.2296127,39.91135381
房山区,116.1494438,39.75432584
顺义区,116.6614243,40.13635076
门头沟区,116.1076036,39.94614672
怀柔区,116.6383859,40.3226184
东城区,116.422401,39.93482727
延庆区,115.9816316,40.46216897
福州,119.3034698,26.08042942
莆田,119.014521,25.45986546
泉州,118.6824463,24.87995233
厦门,118.0964355,24.48540661
漳州,117.6535765,24.51892979
宁德,119.5545107,26.67224171
三明,117.6455212,26.26973652
南平,118.1843695,26.64777287
龙岩,117.0234476,25.08121984
哈尔滨,126.5416151,45.80882583
绥化,126.9753569,46.66003218
齐齐哈尔,123.9245709,47.35997719
双鸭山,131.1653417,46.6531859
鸡西,130.9756187,45.30087232
大庆,125.1086576,46.59363318
佳木斯,130.3273591,46.80568999
七台河,131.0115446,45.77630032
牡丹江,129.6395398,44.55624571
鹤岗,130.3044329,47.35605616
大兴安岭,124.1529279,50.42002596
黑河,127.5354899,50.25127231
北海,109.1265332,21.4868365
南宁,108.3734508,22.8226066
桂林,110.2035454,25.24288572
柳州,109.4344219,24.33196139
防城港,108.3604188,21.69300529
河池,108.0914999,24.69891173
玉林,110.1884531,22.65983051
梧州,111.2855168,23.48274528
贵港,109.6055203,23.11744838
钦州,108.6605802,21.98659354
贺州,111.5735263,24.4094509
百色,106.6245893,23.90818593
西安,108.9464656,34.34726882
安康,109.0356011,32.69051277
汉中,107.0294302,33.07379991
咸阳,108.7154225,34.33547629
宝鸡,107.2445754,34.36891564
铜川,108.9524042,34.90263708
延安,109.4965819,36.59111104
渭南,109.5165896,34.50571552
商洛,109.9244179,33.87863385
榆林,109.741616,38.29088384
杨凌示范区,108.079533,34.24594301
韩城,110.4495526,35.48208679
石家庄,114.5215319,38.04831193
沧州,116.8455808,38.31021514
保定,115.4714638,38.87998777
邢台,114.5114623,37.07668595
邯郸,114.5456282,36.63126273
廊坊,116.6905817,39.54336666
唐山,118.1864595,39.63658372
张家口,114.8925722,40.7732372
衡水,115.6754061,37.74519141
承德,117.9693975,40.95785601
秦皇岛,119.6085306,39.9417481
昆明,102.8524484,24.87399815
西双版纳,100.8034468,22.01360125
玉溪,102.5535603,24.35771094
曲靖,103.8024348,25.49640693
昭通,103.7235118,27.34408386
保山,99.17727329,25.13903879
丽江,100.2324645,26.86065744
大理,100.2745828,25.61212842
红河州,103.3815491,23.36999625
德宏州,98.59135936,24.4380107
普洱,100.9725698,22.83097919
楚雄州,101.5344125,25.05177357
临沧,100.0954404,23.89046856
文山州,104.222569,23.40599429
三亚,109.5185567,18.25873629
海口,110.3255255,20.04404944
万宁,110.3994344,18.80010699
儋州,109.5874558,19.52714611
琼海市,110.4805445,19.26425402
临高县,109.697443,19.91947477
澄迈县,110.0135109,19.74434867
陵水县,110.0444641,18.5123316
昌江,109.0624641,19.30399788
定安,110.3655335,19.68711995
保亭县,109.7034815,18.64690996
东方市,108.6585665,19.10110473
文昌,110.8045087,19.54906208
乐东,109.180508,18.75587149
琼中县,109.8445106,19.03916379
晋中,112.7595948,37.69283941
运城,111.0133895,35.03270691
太原,112.5563915,37.87698903
大同,113.3064363,40.08246872
晋城,112.8585782,35.49628459
吕梁,111.1504497,37.52449775
朔州,112.4393709,39.33710837
长治,113.1225589,36.20126837
忻州,112.7406242,38.42238339
阳泉,113.5876167,37.86236085
临汾,111.5255302,36.0937419
沈阳,123.4710966,41.68383007
大连,121.6216315,38.91895367
盘锦,122.0774901,41.12587529
锦州,121.1325963,41.1009315
阜新,121.676408,42.0280219
丹东,124.3615473,40.00640871
朝阳,120.4574995,41.57982086
葫芦岛,120.8433983,40.71736444
本溪,123.6925071,41.49291646
铁岭,123.7323652,42.229948
辽阳,123.2433664,41.27416129
鞍山,123.0013725,41.1150536
营口,122.2415747,40.67313684
宝坻区,117.3166007,39.72319448
河北区,117.2035928,39.15348514
河东区,117.258413,39.13448733
和平区,121.150732,24.27955689
外地来津,90.93673264,29.04970447
河西区,117.2294163,39.11571808
宁河区,117.8323933,39.33695643
南开区,117.1565154,39.14410528
东丽区,117.3205685,39.09233234
西青区,117.0144102,39.14872661
红桥区,117.1575179,39.17328565
滨海新区,117.7173988,39.00941577
津南区,117.3633868,38.94414857
贵阳,106.6365768,26.65332482
毕节,105.2985888,27.29021508
六盘水,104.8375546,26.59883311
遵义,106.9334277,27.73170088
铜仁,109.1964389,27.73778646
黔南州,107.5284027,26.2606162
黔东南州,107.9894462,26.58970297
安顺,105.9544171,26.25925238
黔西南州,104.9124921,25.09396735
兰州,103.8405212,36.06723469
天水,105.7314167,34.58741188
陇南,104.928575,33.40662023
临夏,103.2163906,35.60756218
张掖,100.4564115,38.93206601
定西,104.6324201,35.58683293
金昌,102.1946057,38.52582009
白银,104.1444508,36.55082533
平凉,106.6714423,35.54923205
庆阳,107.6493857,35.71521598
甘南州,102.9175847,34.98913991
长春,125.3306021,43.8219535
四平,124.3564816,43.17199357
吉林,126.5556345,43.84356783
公主岭,124.8294487,43.51083266
辽源,125.1504252,42.89405501
延边州,129.4773763,42.91574303
松原,124.8314819,45.14740419
通化,125.9466063,41.7338158
鄂尔多斯,109.7874432,39.61448231
包头,109.8465435,40.66292879
呼和浩特,111.7555086,40.848423
巴彦淖尔,107.3943981,40.74935949
赤峰,118.8955204,42.2616861
呼伦贝尔,119.7723705,49.21844648
乌兰察布,113.1394677,41.00074833
乌海,106.800391,39.66200636
锡林郭勒盟,116.0543914,43.93942267
通辽,122.2505218,43.65798008
兴安盟,122.0443645,46.08846371
银川,106.2384936,38.49246006
吴忠,106.2053713,38.00371291
中卫,105.2035709,37.50570142
固原,106.2485774,36.02161726
石嘴山,106.3906004,38.98968284
宁东管委会,118.6426169,32.06191141
石河子,86.08688567,44.31197648
西宁,101.7844502,36.6233847
海北州,100.9074343,36.96066282
澳门,114.0688465,22.53615142
拉萨,91.12082392,29.65004027
